iteracao,score
8040,-4214.637005117203
8050,-4214.637005117203
8060,-4214.637005117203
8070,-4214.637005117203
8080,-4214.637005117203
8090,-4214.637005117203
8100,-4214.637005117203
8110,-4214.637005117203
8120,-4214.637005117203
8130,-4214.637005117203
8140,-4214.637005117203
8150,-4214.637005117203
8160,-4214.637005117203
8170,-4214.637005117203
8180,-4214.637005117203
8190,-4214.637005117203
8200,-4214.637005117203
8210,-4214.637005117203
8220,-4214.637005117203
8230,-4214.637005117203
8240,-4214.637005117203
8250,-4214.637005117203
8260,-4214.637005117203
8270,-4214.637005117203
8280,-4214.637005117203
8290,-4214.637005117203
8300,-4214.637005117203
8310,-4214.637005117203
8320,-4214.637005117203
8330,-4214.637005117203
8340,-4214.637005117203
8350,-4214.637005117203
8360,-4214.637005117203
8370,-4214.637005117203
8380,-4214.637005117203
8390,-4214.637005117203
8400,-4214.637005117203
8410,-4214.637005117203
8420,-4214.637005117203
8430,-4214.637005117203
8440,-4214.637005117203
8450,-4214.637005117203
8460,-4214.637005117203
8470,-4214.637005117203
8480,-4214.637005117203
8490,-4214.637005117203
8500,-4214.637005117203
8510,-4214.637005117203
8520,-4214.637005117203
8530,-4214.637005117203
8540,-4214.637005117203
8550,-4214.637005117203
8560,-4214.637005117203
8570,-4214.637005117203
8580,-4214.637005117203
8590,-4214.637005117203
8600,-4214.637005117203
8610,-4214.637005117203
8620,-4214.637005117203
8630,-4214.637005117203
8640,-4214.637005117203
8650,-4214.637005117203
8660,-4214.637005117203
8670,-4214.637005117203
8680,-4214.637005117203
8690,-4214.637005117203
8700,-4214.637005117203
8710,-4214.637005117203
8720,-4214.637005117203
8730,-4214.637005117203
8740,-4214.637005117203
8750,-4214.637005117203
8760,-4214.637005117203
8770,-4214.637005117203
8780,-4214.637005117203
8790,-4214.637005117203
8800,-4214.637005117203
8810,-4214.637005117203
8820,-4214.637005117203
8830,-4214.637005117203
8840,-4214.637005117203
8850,-4214.637005117203
8860,-4214.637005117203
8870,-4214.637005117203
8880,-4214.637005117203
8890,-4214.637005117203
8900,-4214.637005117203
8910,-4214.637005117203
8920,-4214.637005117203
8930,-4214.637005117203
8940,-4214.637005117203
8950,-4214.637005117203
8960,-4214.637005117203
8970,-4214.637005117203
8980,-4214.637005117203
8990,-4214.637005117203
